ID,Parent SKU,SKU,Short description,Sale price,Regular price,Categories,color,Primary Style,Pocket Shape,Collocation Name,Consignment,Placket Shape,Placket Type,Sleeves Type,Collar Type,Size,Generation
,,SAQ80538893218S,ري ثواب ابيض للشباب و الاطفال,,,,,,,,,,,,,,
,SAQ80538893218S,8053915,ثوب - ري ثوب - ابيض - شباب - 46S - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,46S,شباب
,SAQ80538893218S,8053916,ثوب - ري ثوب - ابيض - شباب - 47M - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,47M,شباب
,SAQ80538893218S,8053917,ثوب - ري ثوب - ابيض - شباب - 47S - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,47S,شباب
,SAQ80538893218S,8053918,ثوب - ري ثوب - ابيض - شباب - 48L - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,48L,شباب
,SAQ80538893218S,8053919,ثوب - ري ثوب - ابيض - شباب - 48M - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,48M,شباب
,SAQ80538893218S,8053920,ثوب - ري ثوب - ابيض - شباب - 48S - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,48S,شباب
,SAQ80538893218S,8053921,ثوب - ري ثوب - ابيض - شباب - 48XL - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,48XL,شباب
,SAQ80538893218S,8053922,ثوب - ري ثوب - ابيض - شباب - 49S - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,49S,شباب
,SAQ80538893218S,8053923,ثوب - ري ثوب - ابيض - شباب - 49XL - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,49XL,شباب
,SAQ80538893218S,8053924,ثوب - ري ثوب - ابيض - شباب - 50L - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,50L,شباب
,SAQ80538893218S,8053925,ثوب - ري ثوب - ابيض - شباب - 50M - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,50M,شباب
,SAQ80538893218S,8053926,ثوب - ري ثوب - ابيض - شباب - 50S - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,50S,شباب
,SAQ80538893218S,8053927,ثوب - ري ثوب - ابيض - شباب - 50XL - 2218,160,160,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,50XL,شباب
,SAQ80538893218S,8053928,ثوب - ري ثوب - ابيض - شباب - 51S - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,51S,شباب
,SAQ80538893218S,8053929,ثوب - ري ثوب - ابيض - شباب - 51XL - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,51XL,شباب
,SAQ80538893218S,8053930,ثوب - ري ثوب - ابيض - شباب - 52L - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,52L,شباب
,SAQ80538893218S,8053931,ثوب - ري ثوب - ابيض - شباب - 52M - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,52M,شباب
,SAQ80538893218S,8053932,ثوب - ري ثوب - ابيض - شباب - 52S - 2218,195,195,الثياب > ري ثوب,أبيض,2218,اخرى,رمضان,غير مرسلة,اخرى,اخرى,اخرى,اخرى,52S,شباب
