ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,479701221,شماغ - الشياكة - رجالي - 60,199,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479701222,شماغ - الشياكة - رجالي - 62,199,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479701223,شماغ - الشياكة - رجالي - 42,99,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,479710210,شماغ - الشياكة - شباب - 46,99,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Youth
,#p30211#,479710212,شماغ - الشياكة - شباب - 50,99,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,46,Youth
,#p30211#,479710214,شماغ - الشياكة - شباب - 52,99,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,50,Youth
,#p30211#,479710216,شماغ - الشياكة - رجالي - 55,199,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,479710219,شماغ - الشياكة - رجالي - 58,199,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,479710221,شماغ - الشياكة - رجالي - 60,199,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479710222,شماغ - الشياكة - رجالي - 62,199,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479710223,شماغ - الشياكة - رجالي - 55,285,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,2227370301219,شماغ - الشياكة - رجالي - 58,285,Alshiaka,Headgear>Alshiaka>Shumagh,White,Swiss Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,2227370301221,شماغ - الشياكة - رجالي - 60,285,Alshiaka,Headgear>Alshiaka>Shumagh,White,Swiss Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,2227370301222,شماغ - الشياكة - رجالي - 62,285,Alshiaka,Headgear>Alshiaka>Shumagh,White,Swiss Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,2227370301223,شماغ - الشياكة - رجالي - 60,30,Alshiaka,Headgear>Alshiaka>Shumagh,White,Swiss Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,328001222,شماغ - الشياكة - رجالي - 58,30,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
