ID,#1qazXSW@,SKU,Description,Regular price,Parent cat,Sub cat,Item type,Color,Prime style,Pocket shape,Collection name,Consignment,Placket shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#1qazXSW@,8053920,Thobe - Rethobe - White - Youth - 2218 - 48S,160,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48S,Youth
,#1qazXSW@,8053921,Thobe - Rethobe - White - Youth - 2218 - 48XL,160,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48XL,Youth
,#1qazXSW@,8053922,Thobe - Rethobe - White - Youth - 2218 - 49S,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,49S,Youth
,#1qazXSW@,8053923,Thobe - Rethobe - White - Youth - 2218 - 49XL,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,49XL,Youth
,#1qazXSW@,8053924,Thobe - Rethobe - White - Youth - 2218 - 50L,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50L,Youth
,#1qazXSW@,8053925,Thobe - Rethobe - White - Youth - 2218 - 50M,160,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50M,Youth
,#1qazXSW@,8053926,Thobe - Rethobe - White - Youth - 2218 - 50S,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50S,Youth
,#1qazXSW@,8053927,Thobe - Rethobe - White - Youth - 2218 - 50XL,160,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50XL,Youth
,#1qazXSW@,8053928,Thobe - Rethobe - White - Youth - 2218 - 51S,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,51S,Youth
,#1qazXSW@,8053929,Thobe - Rethobe - White - Youth - 2218 - 51XL,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,51XL,Youth
,#1qazXSW@,8053930,Thobe - Rethobe - White - Youth - 2218 - 52L,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52L,Youth
,#1qazXSW@,8053931,Thobe - Rethobe - White - Youth - 2218 - 52M,195,Thobe,Rethobe,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52M,Youth
,#1qazXSW@,8053932,Thobe - Rethobe - White - Youth - 2218 - 52S,195,Thobe,Rethobe,Thobe,White,2218,Others,Seasonal,Non Consignment,Others,Others,Others,Others,52S,Youth
