ID,Parent SKU,SKU,Short description,Sale price,Regular price,Categories,Color,Primary Style,Pocket Shape,Collocation Name,Consignment,Placket Shape,Placket Type,Sleeves Type,Collar Type,Size,Generation
,SAQ80538893218S,8053919,ثوب - ري ثوب - ابيض - شباب - 48M - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48M,Youth
,SAQ80538893218S,8053920,ثوب - ري ثوب - ابيض - شباب - 48S - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48S,Youth
,SAQ80538893218S,8053921,ثوب - ري ثوب - ابيض - شباب - 48XL - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,48XL,Youth
,SAQ80538893218S,8053922,ثوب - ري ثوب - ابيض - شباب - 49S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,49S,Youth
,SAQ80538893218S,8053923,ثوب - ري ثوب - ابيض - شباب - 49XL - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,49XL,Youth
,SAQ80538893218S,8053924,ثوب - ري ثوب - ابيض - شباب - 50L - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50L,Youth
,SAQ80538893218S,8053925,ثوب - ري ثوب - ابيض - شباب - 50M - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50M,Youth
,SAQ80538893218S,8053926,ثوب - ري ثوب - ابيض - شباب - 50S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50S,Youth
,SAQ80538893218S,8053927,ثوب - ري ثوب - ابيض - شباب - 50XL - 2218,160,160,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,50XL,Youth
,SAQ80538893218S,8053928,ثوب - ري ثوب - ابيض - شباب - 51S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,51S,Youth
,SAQ80538893218S,8053929,ثوب - ري ثوب - ابيض - شباب - 51XL - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,51XL,Youth
,SAQ80538893218S,8053930,ثوب - ري ثوب - ابيض - شباب - 52L - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52L,Youth
,SAQ80538893218S,8053931,ثوب - ري ثوب - ابيض - شباب - 52M - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52M,Youth
,SAQ80538893218S,8053932,ثوب - ري ثوب - ابيض - شباب - 52S - 2218,195,195,Thobe > Rethobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,52S,Youth
