ID,Parent SKU,SKU,Name,Description,Tax class,Stock,Sale price,Regular price,Categories EN,Images,Item type,Color,Prime style,Pocket shape,Collection name,Consignment,Placket shape,Placket Type,Sleeves type,Collar type,Size,Generation
,SAQ80538893218S,8053907,Thobe - Rethobe - White - Youth - 2218 - 42S,Thobe - Rethobe - White - Youth - 2218 - 42S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,42S,Youth
,SAQ80538893218S,8053908,Thobe - Rethobe - White - Youth - 2218 - 43M,Thobe - Rethobe - White - Youth - 2218 - 43M,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,43M,Youth
,SAQ80538893218S,8053909,Thobe - Rethobe - White - Youth - 2218 - 43S,Thobe - Rethobe - White - Youth - 2218 - 43S,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,43S,Youth
,SAQ80538893218S,8053910,Thobe - Rethobe - White - Youth - 2218 - 44M,Thobe - Rethobe - White - Youth - 2218 - 44M,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,44M,Youth
,SAQ80538893218S,8053911,Thobe - Rethobe - White - Youth - 2218 - 44S,Thobe - Rethobe - White - Youth - 2218 - 44S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,44S,Youth
,SAQ80538893218S,8053912,Thobe - Rethobe - White - Youth - 2218 - 45M,Thobe - Rethobe - White - Youth - 2218 - 45M,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,45M,Youth
,SAQ80538893218S,8053913,Thobe - Rethobe - White - Youth - 2218 - 45S,Thobe - Rethobe - White - Youth - 2218 - 45S,,1,195,195,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,45S,Youth
,SAQ80538893218S,8053914,Thobe - Rethobe - White - Youth - 2218 - 46M,Thobe - Rethobe - White - Youth - 2218 - 46M,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,46M,Youth
,SAQ80538893218S,8053915,Thobe - Rethobe - White - Youth - 2218 - 46S,Thobe - Rethobe - White - Youth - 2218 - 46S,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,46S,Youth
,SAQ80538893218S,8053916,Thobe - Rethobe - White - Youth - 2218 - 47M,Thobe - Rethobe - White - Youth - 2218 - 47M,,1,160,160,Thobe > Rethobe,https://shiaka-dev.com/wp-content/uploads/2022/04/52.jpg,Thobe,White,2218,Others,Ramadan,Non Consignment,Others,Others,Others,Others,47M,Youth
